26;5;Męcinka;5085;147.78;2;205032
2;1;Bolesławiec;15119;289.11;2;201022
9;2;Pieszyce;9012;63.61;3;202033
3;1;Gromadka;5094;267.76;2;201032
32;8;Piechowice;5886;43.17;1;206031
5;1;Osiecznica;7329;436.68;2;201052
14;3;Głogów;63730;35.12;1;203011
4;1;Nowogrodziec;14747;176.61;3;201043
27;5;Mściwojów;4020;71.81;2;205042
7;2;Bielawa;28688;36.21;1;202011
16;3;Jerzmanowa;5669;63.32;2;203032
8;2;Dzierżoniów;31478;20.07;1;202021
67;12;Leśna;9456;104.56;3;210033
10;2;Piława Górna;6059;20.93;1;202041
17;3;Kotla;4359;127.52;2;203042
12;2;Łagiewniki;7254;124.75;2;202062
28;5;Paszowice;4116;101.12;2;205052
13;2;Niemcza;5178;71.87;3;202073
18;3;Pęcław;2119;64.27;2;203052
34;8;Janowice Wielkie;4113;57.88;2;206052
21;4;Jemielno;2775;124.04;2;204022
25;5;Bolków;9749;152.55;3;205023
22;4;Niechlów;4614;151.09;2;204032
49;9;Kłodzko;16680;253.25;2;208072
20;4;Góra;18797;266.01;3;204013
39;7;Kamienna Góra;17724;18.04;1;207011
23;4;Wąsosz;6841;197.11;3;204043
35;8;Jeżów Sudecki;7801;94.27;2;206062
59;11;Krotoszyce;3318;67.5;2;209032
40;7;Kamienna Góra;8860;158.06;2;207022
36;8;Mysłakowice;9828;87.98;2;206072
42;7;Marciszów;4341;81.55;2;207042
51;9;Lewin Kłodzki;1962;52.15;2;208092
30;8;Karpacz;4358;37.99;1;206011
37;8;Podgórzyn;8178;82.49;2;206082
31;8;Kowary;10139;37.39;1;206021
82;15;Krośnice;8016;178.52;2;213022
53;9;Nowa Ruda;10833;139.64;2;208112
43;9;Duszniki-Zdrój;4178;22.28;1;208011
60;11;Kunice;7514;92.65;2;209042
44;9;Kłodzko;25442;24.84;1;208021
50;9;Lądek-Zdrój;7689;117.27;3;208083
45;9;Kudowa-Zdrój;9509;33.9;1;208031
72;13;Lubin;69267;40.76;1;211011
46;9;Nowa Ruda;21018;37.05;1;208041
52;9;Międzylesie;6859;188.75;3;208103
62;11;Miłkowice;7121;86.4;2;209062
54;9;Radków;8573;139.96;3;208123
95;17;Oława;15542;234.59;2;215042
55;9;Stronie Śląskie;6918;146.08;3;208133
64;11;Ruja;2445;73.28;2;209082
57;11;Chojnów;12619;5.32;1;209011
73;13;Lubin;17722;289.8;2;211022
58;11;Chojnów;9536;230.95;2;209022
63;11;Prochowice;7258;102.53;3;209073
83;15;Milicz;23436;435.52;3;213033
65;12;Lubań;19964;16.12;1;210011
74;13;Rudna;7437;216.63;2;211032
68;12;Lubań;6527;142.41;2;210042
70;12;Platerówka;1537;47.9;2;210062
76;14;Gryfów Śląski;9306;66.66;3;212013
71;12;Siekierczyn;4448;49.5;2;210072
86;16;Dobroszyce;7089;131.96;2;214032
94;17;Jelcz-Laskowice;23636;167.65;3;215033
77;14;Lubomierz;5657;130.33;3;212023
87;16;Dziadowa Kłoda;4555;105.35;2;214042
78;14;Lwówek Śląski;16354;240.16;3;212033
79;14;Mirsk;8192;186.54;3;212043
89;16;Oleśnica;15513;242.91;2;214062
81;15;Cieszków;4581;100.84;2;213012
